3#__tn,3$__tt,5$__idx,1$__cid
idx__1139,tt__'97,1,1.0
tt__'97,cid__year,1.0,1
idx__1139,tt__Spanish,1,1.0
tt__Spanish,cid__language,1.0,1
idx__1140,tt__Pleamar (Poeta),1,1.0
tt__Pleamar (Poeta),cid__title,1.0,1
idx__1140,tt__01:26,1,1.0
tt__01:26,cid__length,1.0,1
idx__1140,tt__Vicente Amigo,1,1.0
tt__Vicente Amigo,cid__artist,1.0,1
idx__1140,tt__poeta,1,1.0
tt__poeta,cid__album,1.0,1
idx__1140,tt__1997,1,1.0
tt__1997,cid__year,1.0,1
idx__1141,tt__Pleamar,1,1.0
tt__Pleamar,cid__title,1.0,1
idx__1141,tt__86293,1,1.0
tt__86293,cid__length,1.0,1
idx__1141,tt__Vicente Amigo,1,1.0
tt__Vicente Amigo,cid__artist,1.0,1
idx__1141,tt__Poeta,1,1.0
tt__Poeta,cid__album,1.0,1
idx__1141,tt__1997,1,1.0
tt__1997,cid__year,1.0,1
idx__1141,tt__S.,1,1.0
tt__S.,cid__language,1.0,1
idx__1142,tt__254-Firnen 4,1,1.0
tt__254-Firnen 4,cid__title,1.0,1
idx__1142,tt__6m 23sec,1,1.0
tt__6m 23sec,cid__length,1.0,1
idx__1142,tt__Paolini  Christopher,1,1.0
tt__Paolini  Christopher,cid__artist,1.0,1
idx__1142,tt__Eragon: Das Erbe der Macht (2011),1,1.0
tt__Eragon: Das Erbe der Macht (2011),cid__album,1.0,1
idx__1142,tt__Ger.,1,1.0
tt__Ger.,cid__language,1.0,1
idx__1143,tt__Fírnen 4,1,1.0
tt__Fírnen 4,cid__title,1.0,1
idx__1143,tt__383000,1,1.0
tt__383000,cid__length,1.0,1
idx__1143,tt__Paolini  Christopher,1,1.0
tt__Paolini  Christopher,cid__artist,1.0,1
idx__1143,tt__Eragon: Das Erbe der Macht,1,1.0
tt__Eragon: Das Erbe der Macht,cid__album,1.0,1
idx__1143,tt__2021,1,1.0
tt__2021,cid__year,1.0,1
idx__1143,tt__German,1,1.0
tt__German,cid__language,1.0,1
idx__1144,tt__Paolini  Christopher - Fírnen 4,1,1.0
tt__Paolini  Christopher - Fírnen 4,cid__title,1.0,1
idx__1144,tt__383,1,1.0
tt__383,cid__length,1.0,1
idx__1144,tt__Eragon: Das Erbe der Macht,1,1.0
tt__Eragon: Das Erbe der Macht,cid__album,1.0,1
idx__1144,tt__11,1,1.0
tt__11,cid__year,1.0,1
idx__1144,tt__German,1,1.0
tt__German,cid__language,1.0,1
idx__1145,tt__Fírnen 4 - Eragon: Das Erbe der Macht,1,1.0
tt__Fírnen 4 - Eragon: Das Erbe der Macht,cid__title,1.0,1
idx__1145,tt__6,1,1.0
tt__6,cid__length,1.0,1
idx__1145,tt__Paolini  Christopher,1,1.0
tt__Paolini  Christopher,cid__artist,1.0,1
idx__1145,tt__'11,1,1.0
tt__'11,cid__year,1.0,1
idx__1145,tt__German,1,1.0
tt__German,cid__language,1.0,1
idx__1146,tt__Fírnen 4 (Eragon: Das Erbe der Macht),1,1.0
tt__Fírnen 4 (Eragon: Das Erbe der Macht),cid__title,1.0,1
idx__1146,tt__06:23,1,1.0
tt__06:23,cid__length,1.0,1
idx__1146,tt__Paolini  Christopher,1,1.0
tt__Paolini  Christopher,cid__artist,1.0,1
idx__1146,tt__Eragon: Das Erbe der Macht,1,1.0
tt__Eragon: Das Erbe der Macht,cid__album,1.0,1
idx__1146,tt__2011,1,1.0
tt__2011,cid__year,1.0,1
idx__1147,tt__Full of Holes (2012-01-21: Variety Playhouse  Athens  GA  USA),1,1.0
tt__Full of Holes (2012-01-21: Variety Playhouse  Athens  GA  USA),cid__title,1.0,1
idx__1147,tt__00:00,1,1.0
tt__00:00,cid__length,1.0,1
idx__1147,tt__Grapees,1,1.0
tt__Grapees,cid__artist,1.0,1
idx__1147,tt__2012-01-21: Variety Playhouse  Athens  GA  USA,1,1.0
tt__2012-01-21: Variety Playhouse  Athens  GA  USA,cid__album,1.0,1
idx__1148,tt__Rock No More (Rockin' Dance Floor Hits),1,1.0
tt__Rock No More (Rockin' Dance Floor Hits),cid__title,1.0,1
idx__1148,tt__02:51,1,1.0
tt__02:51,cid__length,1.0,1
idx__1148,tt__Hi-Voltage,1,1.0
tt__Hi-Voltage,cid__artist,1.0,1
idx__1148,tt__Rockin' Dance Floor Hits,1,1.0
tt__Rockin' Dance Floor Hits,cid__album,1.0,1
idx__1148,tt__2009,1,1.0
tt__2009,cid__year,1.0,1
idx__1149,tt__Hi-Voltage - Rock No More,1,1.0
tt__Hi-Voltage - Rock No More,cid__title,1.0,1
idx__1149,tt__171,1,1.0
tt__171,cid__length,1.0,1
idx__1149,tt__Rockin' Dance Floor Hits,1,1.0
tt__Rockin' Dance Floor Hits,cid__album,1.0,1
idx__1149,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__1150,tt__Jabberwock - Mâcheur de mots,1,1.0
tt__Jabberwock - Mâcheur de mots,cid__title,1.0,1
idx__1150,tt__4,1,1.0
tt__4,cid__length,1.0,1
idx__1150,tt__Steve Waring,1,1.0
tt__Steve Waring,cid__artist,1.0,1
idx__1150,tt__'10,1,1.0
tt__'10,cid__year,1.0,1
idx__1150,tt__French,1,1.0
tt__French,cid__language,1.0,1
idx__1151,tt__Jabberwock,1,1.0
tt__Jabberwock,cid__title,1.0,1
idx__1151,tt__292706,1,1.0
tt__292706,cid__length,1.0,1
idx__1151,tt__Steve Waring,1,1.0
tt__Steve Waring,cid__artist,1.0,1
idx__1151,tt__Mâcheur,1,1.0
tt__Mâcheur,cid__album,1.0,1
idx__1151,tt__2010,1,1.0
tt__2010,cid__year,1.0,1
idx__1151,tt__French,1,1.0
tt__French,cid__language,1.0,1
idx__1152,tt__Steve Waring - Jabberwock,1,1.0
tt__Steve Waring - Jabberwock,cid__title,1.0,1
idx__1152,tt__292,1,1.0
tt__292,cid__length,1.0,1
idx__1152,tt__Mâcheur de mots,1,1.0
tt__Mâcheur de mots,cid__album,1.0,1
idx__1152,tt__10,1,1.0
tt__10,cid__year,1.0,1
idx__1152,tt__French,1,1.0
tt__French,cid__language,1.0,1
idx__1153,tt__Jabberwock (Mâcheur de mots),1,1.0
tt__Jabberwock (Mâcheur de mots),cid__title,1.0,1
idx__1153,tt__04:52,1,1.0
tt__04:52,cid__length,1.0,1
idx__1153,tt__Steve Waring,1,1.0
tt__Steve Waring,cid__artist,1.0,1
idx__1153,tt__Mâcheur de mots,1,1.0
tt__Mâcheur de mots,cid__album,1.0,1
idx__1153,tt__2010,1,1.0
tt__2010,cid__year,1.0,1
idx__1154,tt__010-Retki meren rantaan,1,1.0
tt__010-Retki meren rantaan,cid__title,1.0,1
idx__1154,tt__3m 25sec,1,1.0
tt__3m 25sec,cid__length,1.0,1
idx__1154,tt__Edu Kettunen,1,1.0
tt__Edu Kettunen,cid__artist,1.0,1
idx__1154,tt__Grand Prix (2002),1,1.0
tt__Grand Prix (2002),cid__album,1.0,1
idx__1154,tt__Fin.,1,1.0
tt__Fin.,cid__language,1.0,1
idx__1155,tt__Retki meren rantaan,1,1.0
tt__Retki meren rantaan,cid__title,1.0,1
idx__1155,tt__205253,1,1.0
tt__205253,cid__length,1.0,1
idx__1155,tt__Edu Kettunen,1,1.0
tt__Edu Kettunen,cid__artist,1.0,1
idx__1155,tt__Grand Prix,1,1.0
tt__Grand Prix,cid__album,1.0,1
idx__1155,tt__2002,1,1.0
tt__2002,cid__year,1.0,1
idx__1155,tt__Finnish,1,1.0
tt__Finnish,cid__language,1.0,1
idx__1156,tt__001-Doble opuesto,1,1.0
tt__001-Doble opuesto,cid__title,1.0,1
idx__1156,tt__4m 48sec,1,1.0
tt__4m 48sec,cid__length,1.0,1
idx__1156,tt__La Ley,1,1.0
tt__La Ley,cid__artist,1.0,1
idx__1156,tt__Doble opuesto (1991),1,1.0
tt__Doble opuesto (1991),cid__album,1.0,1
idx__1156,tt__Sap.,1,1.0
tt__Sap.,cid__language,1.0,1
idx__1157,tt__Doble opuesto,1,1.0
tt__Doble opuesto,cid__title,1.0,1
idx__1157,tt__04:48,1,1.0
tt__04:48,cid__length,1.0,1
idx__1157,tt__La Ley,1,1.0
tt__La Ley,cid__artist,1.0,1
idx__1157,tt__Doble opuesto,1,1.0
tt__Doble opuesto,cid__album,1.0,1
idx__1157,tt__1991,1,1.0
tt__1991,cid__year,1.0,1
idx__1158,tt__Doble opuesto,1,1.0
tt__Doble opuesto,cid__title,1.0,1
idx__1158,tt__288000,1,1.0
tt__288000,cid__length,1.0,1
idx__1158,tt__La Ley,1,1.0
tt__La Ley,cid__artist,1.0,1
idx__1158,tt__Doble opuesto,1,1.0
tt__Doble opuesto,cid__album,1.0,1
idx__1158,tt__1991,1,1.0
tt__1991,cid__year,1.0,1
idx__1158,tt__Spanish,1,1.0
tt__Spanish,cid__language,1.0,1
idx__1159,tt__La Ley - Doble opuesto,1,1.0
tt__La Ley - Doble opuesto,cid__title,1.0,1
idx__1159,tt__288,1,1.0
tt__288,cid__length,1.0,1
idx__1159,tt__Doble opuesto,1,1.0
tt__Doble opuesto,cid__album,1.0,1
idx__1159,tt__91,1,1.0
tt__91,cid__year,1.0,1
idx__1159,tt__Spanish,1,1.0
tt__Spanish,cid__language,1.0,1
idx__1160,tt__Butch Thompson - Lincoln Avenue Blues,1,1.0
tt__Butch Thompson - Lincoln Avenue Blues,cid__title,1.0,1
idx__1160,tt__223,1,1.0
tt__223,cid__length,1.0,1
idx__1160,tt__Lincoln Avenue Blues,1,1.0
tt__Lincoln Avenue Blues,cid__album,1.0,1
idx__1160,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__1161,tt__Lincoln Avenue Blues,1,1.0
tt__Lincoln Avenue Blues,cid__title,1.0,1
idx__1161,tt__3,1,1.0
tt__3,cid__length,1.0,1
idx__1161,tt__Butch Thompson,1,1.0
tt__Butch Thompson,cid__artist,1.0,1
idx__1161,tt__Lincoln Avenue Blues,1,1.0
tt__Lincoln Avenue Blues,cid__album,1.0,1
idx__1161,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__1162,tt__Lincoln Avenue Blues,1,1.0
tt__Lincoln Avenue Blues,cid__title,1.0,1
idx__1162,tt__223493,1,1.0
tt__223493,cid__length,1.0,1
idx__1162,tt__Butch Thompson,1,1.0
tt__Butch Thompson,cid__artist,1.0,1
idx__1162,tt__Lincoln Avenue Blues,1,1.0
tt__Lincoln Avenue Blues,cid__album,1.0,1
idx__1162,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__1163,tt__001-Lincoln Avenue Blues,1,1.0
tt__001-Lincoln Avenue Blues,cid__title,1.0,1
idx__1163,tt__3m 43sec,1,1.0
tt__3m 43sec,cid__length,1.0,1
idx__1163,tt__Butch Thompson,1,1.0
tt__Butch Thompson,cid__artist,1.0,1
idx__1163,tt__Lincoln Avenue Blues (unknown),1,1.0
tt__Lincoln Avenue Blues (unknown),cid__album,1.0,1
idx__1163,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__1164,tt__Trolls Lurking Beer - Mighty Tavern,1,1.0
tt__Trolls Lurking Beer - Mighty Tavern,cid__title,1.0,1
idx__1164,tt__3,1,1.0
tt__3,cid__length,1.0,1
idx__1164,tt__Zrymgöll,1,1.0
tt__Zrymgöll,cid__artist,1.0,1
idx__1164,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__1165,tt__Zrymgöll - Trolls Lurking Beer,1,1.0
tt__Zrymgöll - Trolls Lurking Beer,cid__title,1.0,1
idx__1165,tt__185,1,1.0
tt__185,cid__length,1.0,1
idx__1165,tt__Mighty Tavern,1,1.0
tt__Mighty Tavern,cid__album,1.0,1
idx__1165,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__1166,tt__Trolls Lurking Beer,1,1.0
tt__Trolls Lurking Beer,cid__title,1.0,1
idx__1166,tt__3m 5sec,1,1.0
tt__3m 5sec,cid__length,1.0,1
idx__1166,tt__Zrymgoll,1,1.0
tt__Zrymgoll,cid__artist,1.0,1
idx__1166,tt__Mighty Tavern (unknown),1,1.0
tt__Mighty Tavern (unknown),cid__album,1.0,1
idx__1166,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__1167,tt__Trolls Lurking Beer (Mighty Tavern),1,1.0
tt__Trolls Lurking Beer (Mighty Tavern),cid__title,1.0,1
idx__1167,tt__03:05,1,1.0
tt__03:05,cid__length,1.0,1
idx__1167,tt__Zrymgöll,1,1.0
tt__Zrymgöll,cid__artist,1.0,1
idx__1167,tt__Mighty Tavern,1,1.0
tt__Mighty Tavern,cid__album,1.0,1
idx__1168,tt__Trolls Lurking Beer,1,1.0
tt__Trolls Lurking Beer,cid__title,1.0,1
idx__1168,tt__185000,1,1.0
tt__185000,cid__length,1.0,1
idx__1168,tt__Zrymgöll,1,1.0
tt__Zrymgöll,cid__artist,1.0,1
idx__1168,tt__Mighty Tavern,1,1.0
tt__Mighty Tavern,cid__album,1.0,1
idx__1168,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__1169,tt__007-Josephine,1,1.0
tt__007-Josephine,cid__title,1.0,1
idx__1169,tt__3m 57sec,1,1.0
tt__3m 57sec,cid__length,1.0,1
idx__1169,tt__Chris Rea,1,1.0
tt__Chris Rea,cid__artist,1.0,1
idx__1169,tt__Le Meilleur de la musique 2 u(nknown),1,1.0
tt__Le Meilleur de la musique 2 u(nknown),cid__album,1.0,1
idx__1169,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__1170,tt__Josephine (Le Meilleur de la musique 2),1,1.0
tt__Josephine (Le Meilleur de la musique 2),cid__title,1.0,1
idx__1170,tt__03:57,1,1.0
tt__03:57,cid__length,1.0,1
idx__1170,tt__Chris Rea,1,1.0
tt__Chris Rea,cid__artist,1.0,1
idx__1170,tt__Le Meilleur de la musique 2,1,1.0
tt__Le Meilleur de la musique 2,cid__album,1.0,1
idx__1171,tt__Josephine,1,1.0
tt__Josephine,cid__title,1.0,1
idx__1171,tt__237133,1,1.0
tt__237133,cid__length,1.0,1
idx__1171,tt__Chris Rea,1,1.0
tt__Chris Rea,cid__artist,1.0,1
idx__1171,tt__Le Meilleur de la musique 2,1,1.0
tt__Le Meilleur de la musique 2,cid__album,1.0,1
idx__1171,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__1172,tt__Temple Sinai Klezmer Band - Temple Sinai Freylach,1,1.0
tt__Temple Sinai Klezmer Band - Temple Sinai Freylach,cid__title,1.0,1
idx__1172,tt__May the Borscht Be With You,1,1.0
tt__May the Borscht Be With You,cid__album,1.0,1
idx__1172,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__1173,tt__Autumn Myst - Summoning the Prince of Armageddon,1,1.0
tt__Autumn Myst - Summoning the Prince of Armageddon,cid__title,1.0,1
idx__1173,tt__315,1,1.0
tt__315,cid__length,1.0,1
idx__1173,tt__Black Fucking Demo,1,1.0
tt__Black Fucking Demo,cid__album,1.0,1
idx__1173,tt__5,1,1.0
tt__5,cid__year,1.0,1
idx__1173,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__1174,tt__Gold Fish in Bowl Trap - BetchaWannaDanceStoopid!!,1,1.0
tt__Gold Fish in Bowl Trap - BetchaWannaDanceStoopid!!,cid__title,1.0,1
idx__1174,tt__13,1,1.0
tt__13,cid__length,1.0,1
idx__1174,tt__Flower Kings,1,1.0
tt__Flower Kings,cid__artist,1.0,1
idx__1174,tt__'04,1,1.0
tt__'04,cid__year,1.0,1
idx__1174,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__1175,tt__Just a Thought,1,1.0
tt__Just a Thought,cid__title,1.0,1
idx__1175,tt__Präparation-H,1,1.0
tt__Präparation-H,cid__artist,1.0,1
idx__1175,tt__Sexist Society...M ust Destroy It! / It's a Dog's World...,1,1.0
tt__Sexist Society...M ust Destroy It! / It's a Dog's World...,cid__album,1.0,1
idx__1175,tt__1996,1,1.0
tt__1996,cid__year,1.0,1
idx__1175,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__1176,tt__Can’t Stop Me Now (Tiësto remix) (Club Life  Volume Two: Miami),1,1.0
tt__Can’t Stop Me Now (Tiësto remix) (Club Life  Volume Two: Miami),cid__title,1.0,1
idx__1176,tt__04:39,1,1.0
tt__04:39,cid__length,1.0,1
idx__1176,tt__Afrojack & Shermanology,1,1.0
tt__Afrojack & Shermanology,cid__artist,1.0,1
idx__1176,tt__Club Life  Volume Two: Miami,1,1.0
tt__Club Life  Volume Two: Miami,cid__album,1.0,1
idx__1176,tt__2012,1,1.0
tt__2012,cid__year,1.0,1
idx__1177,tt__Roma/Tokyo - En concierto  May 1999: Mexico City,1,1.0
tt__Roma/Tokyo - En concierto  May 1999: Mexico City,cid__title,1.0,1
idx__1177,tt__6,1,1.0
tt__6,cid__length,1.0,1
idx__1177,tt__Banco del Mutuo Soccorso,1,1.0
tt__Banco del Mutuo Soccorso,cid__artist,1.0,1
idx__1177,tt__'00,1,1.0
tt__'00,cid__year,1.0,1
idx__1177,tt__Itallian,1,1.0
tt__Itallian,cid__language,1.0,1
idx__1178,tt__081-Country RadUio (full mix),1,1.0
tt__081-Country RadUio (full mix),cid__title,1.0,1
idx__1178,tt__2m 26sec,1,1.0
tt__2m 26sec,cid__length,1.0,1
idx__1178,tt__Antony Cooper & Peter Jaksic,1,1.0
tt__Antony Cooper & Peter Jaksic,cid__artist,1.0,1
idx__1178,tt__IDentity 2 (unknown),1,1.0
tt__IDentity 2 (unknown),cid__album,1.0,1
idx__1178,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__1179,tt__Senza Una Donna (bonus En Catalan) - Via Dalma II,1,1.0
tt__Senza Una Donna (bonus En Catalan) - Via Dalma II,cid__title,1.0,1
idx__1179,tt__3,1,1.0
tt__3,cid__length,1.0,1
idx__1179,tt__Sergio Dalma,1,1.0
tt__Sergio Dalma,cid__artist,1.0,1
idx__1179,tt__'11,1,1.0
tt__'11,cid__year,1.0,1
idx__1179,tt__Spanish,1,1.0
tt__Spanish,cid__language,1.0,1
idx__1180,tt__Senza Una Donna (bonus En Catalan),1,1.0
tt__Senza Una Donna (bonus En Catalan),cid__title,1.0,1
idx__1180,tt__236000,1,1.0
tt__236000,cid__length,1.0,1
idx__1180,tt__Sergio Dalma,1,1.0
tt__Sergio Dalma,cid__artist,1.0,1
idx__1180,tt__Via Dalma II,1,1.0
tt__Via Dalma II,cid__album,1.0,1
idx__1180,tt__2011,1,1.0
tt__2011,cid__year,1.0,1
idx__1180,tt__Spanish,1,1.0
tt__Spanish,cid__language,1.0,1
idx__1181,tt__013-Senza Una Donna (bonus En Catalan),1,1.0
tt__013-Senza Una Donna (bonus En Catalan),cid__title,1.0,1
idx__1181,tt__3m 56sec,1,1.0
tt__3m 56sec,cid__length,1.0,1
idx__1181,tt__Sergio Dalma,1,1.0
tt__Sergio Dalma,cid__artist,1.0,1
idx__1181,tt__Via Dalma II (2011),1,1.0
tt__Via Dalma II (2011),cid__album,1.0,1
idx__1181,tt__Spa.,1,1.0
tt__Spa.,cid__language,1.0,1
idx__1182,tt__Streichquartett Nr. 1 in B-Dur  "Die Jagd": Presto (Caspar-Da-Salo-Quartett) (Die Klassiksammlung 56: Haydn: Höhepunkte der Klassik),1,1.0
tt__Streichquartett Nr. 1 in B-Dur  "Die Jagd": Presto (Caspar-Da-Salo-Quartett) (Die Klassiksammlung 56: Haydn: Höhepunkte der Klassik),cid__title,1.0,1
idx__1182,tt__03:04,1,1.0
tt__03:04,cid__length,1.0,1
idx__1182,tt__Joseph Haydn,1,1.0
tt__Joseph Haydn,cid__artist,1.0,1
idx__1182,tt__Die Klassiksammlung 56: Haydn: Höhepunkte der Klassik,1,1.0
tt__Die Klassiksammlung 56: Haydn: Höhepunkte der Klassik,cid__album,1.0,1
idx__1182,tt__1995,1,1.0
tt__1995,cid__year,1.0,1
idx__1183,tt__Joseph Haydn - Streichquartett Nr. 1 in B-Dur  "Die Jagd": Presto (Caspar-Da-Salo-Quartett),1,1.0
tt__Joseph Haydn - Streichquartett Nr. 1 in B-Dur  "Die Jagd": Presto (Caspar-Da-Salo-Quartett),cid__title,1.0,1
idx__1183,tt__184,1,1.0
tt__184,cid__length,1.0,1
idx__1183,tt__Die Klassiksammlung 56: Haydn: Höhepunkte der Klassik,1,1.0
tt__Die Klassiksammlung 56: Haydn: Höhepunkte der Klassik,cid__album,1.0,1
idx__1183,tt__95,1,1.0
tt__95,cid__year,1.0,1
idx__1183,tt__German,1,1.0
tt__German,cid__language,1.0,1
idx__1184,tt__Svein Finnerud Trio - Olga,1,1.0
tt__Svein Finnerud Trio - Olga,cid__title,1.0,1
idx__1184,tt__219,1,1.0
tt__219,cid__length,1.0,1
idx__1184,tt__The Complete Released Works 1968-1999,1,1.0
tt__The Complete Released Works 1968-1999,cid__album,1.0,1
idx__1184,tt__8,1,1.0
tt__8,cid__year,1.0,1
idx__1185,tt__21z-,1,1.0
tt__21z-,cid__title,1.0,1
idx__1185,tt__0m 43sec,1,1.0
tt__0m 43sec,cid__length,1.0,1
idx__1185,tt__ 3 () (1999),1,1.0
tt__ 3 () (1999),cid__album,1.0,1
idx__1185,tt__Jap.,1,1.0
tt__Jap.,cid__language,1.0,1
idx__1186,tt__染色体サンプル,1,1.0
tt__染色体サンプル,cid__title,1.0,1
idx__1186,tt__41888,1,1.0
tt__41888,cid__length,1.0,1
idx__1186,tt__大谷幸,1,1.0
tt__大谷幸,cid__artist,1.0,1
idx__1186,tt__ガメラ 3 邪神(イリス)覚醒,1,1.0
tt__ガメラ 3 邪神(イリス)覚醒,cid__album,1.0,1
idx__1186,tt__1999,1,1.0
tt__1999,cid__year,1.0,1
idx__1186,tt__Japanesee,1,1.0
tt__Japanesee,cid__language,1.0,1
idx__1187,tt__Celebrate the News,1,1.0
tt__Celebrate the News,cid__title,1.0,1
idx__1187,tt__183000,1,1.0
tt__183000,cid__length,1.0,1
idx__1187,tt__The Beach Boys,1,1.0
tt__The Beach Boys,cid__artist,1.0,1
idx__1187,tt__Beach Boys Rarities,1,1.0
tt__Beach Boys Rarities,cid__album,1.0,1
idx__1187,tt__1983,1,1.0
tt__1983,cid__year,1.0,1
idx__1187,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__1188,tt__002-  ,1,1.0
tt__002-  ,cid__title,1.0,1
idx__1188,tt__unknown,1,1.0
tt__unknown,cid__length,1.0,1
idx__1188,tt__Schizo,1,1.0
tt__Schizo,cid__artist,1.0,1
idx__1188,tt__Fight Against the World (2006),1,1.0
tt__Fight Against the World (2006),cid__album,1.0,1
idx__1188,tt__unknown,1,1.0
tt__unknown,cid__language,1.0,1
idx__1189,tt__The Doctrine of the Trinity - History of Christian Theology,1,1.0
tt__The Doctrine of the Trinity - History of Christian Theology,cid__title,1.0,1
idx__1189,tt__Professor Phillip Cary,1,1.0
tt__Professor Phillip Cary,cid__artist,1.0,1
idx__1189,tt__Englsh,1,1.0
tt__Englsh,cid__language,1.0,1
idx__1190,tt__010-The Doctrine of the Trinity,1,1.0
tt__010-The Doctrine of the Trinity,cid__title,1.0,1
idx__1190,tt__unknown,1,1.0
tt__unknown,cid__length,1.0,1
idx__1190,tt__Professor Phillip Cary,1,1.0
tt__Professor Phillip Cary,cid__artist,1.0,1
idx__1190,tt__History of Christian Theology (unknown),1,1.0
tt__History of Christian Theology (unknown),cid__album,1.0,1
idx__1190,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__1191,tt__D.W. Read - What Child Is This?,1,1.0
tt__D.W. Read - What Child Is This?,cid__title,1.0,1
idx__1191,tt__27,1,1.0
tt__27,cid__length,1.0,1
idx__1191,tt__Yaytime for Christmas  Volume 1,1,1.0
tt__Yaytime for Christmas  Volume 1,cid__album,1.0,1
idx__1191,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__1192,tt__What Child Is This? (Yaytime for Christmas  Volume 1),1,1.0
tt__What Child Is This? (Yaytime for Christmas  Volume 1),cid__title,1.0,1
idx__1192,tt__00:27,1,1.0
tt__00:27,cid__length,1.0,1
idx__1192,tt__D.W. Read,1,1.0
tt__D.W. Read,cid__artist,1.0,1
idx__1192,tt__Yaytime for Christmas  Volume 1,1,1.0
tt__Yaytime for Christmas  Volume 1,cid__album,1.0,1
idx__1193,tt__008-What Child Is This?,1,1.0
tt__008-What Child Is This?,cid__title,1.0,1
idx__1193,tt__0m 27sec,1,1.0
tt__0m 27sec,cid__length,1.0,1
idx__1193,tt__D.W. Read,1,1.0
tt__D.W. Read,cid__artist,1.0,1
idx__1193,tt__Yaytime for Christmas  Vol. I (unknown),1,1.0
tt__Yaytime for Christmas  Vol. I (unknown),cid__album,1.0,1
idx__1193,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__1194,tt__What Child Is This?,1,1.0
tt__What Child Is This?,cid__title,1.0,1
idx__1194,tt__27000,1,1.0
tt__27000,cid__length,1.0,1
idx__1194,tt__D.W. Reaad,1,1.0
tt__D.W. Reaad,cid__artist,1.0,1
idx__1194,tt__Yaytime for Christmas  VVolume 1,1,1.0
tt__Yaytime for Christmas  VVolume 1,cid__album,1.0,1
idx__1194,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__1195,tt__What Child Is This? - Yaytime for Christmas  Volume 1,1,1.0
tt__What Child Is This? - Yaytime for Christmas  Volume 1,cid__title,1.0,1
idx__1195,tt__0,1,1.0
tt__0,cid__length,1.0,1
idx__1195,tt__D.W. Read,1,1.0
tt__D.W. Read,cid__artist,1.0,1
idx__1195,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__1196,tt__Le Wax - Allure,1,1.0
tt__Le Wax - Allure,cid__title,1.0,1
idx__1196,tt__431,1,1.0
tt__431,cid__length,1.0,1
idx__1196,tt__NL,1,1.0
tt__NL,cid__album,1.0,1
idx__1196,tt__0,1,1.0
tt__0,cid__year,1.0,1
idx__1196,tt__[Multiple language],1,1.0
tt__[Multiple language],cid__language,1.0,1
idx__1197,tt__Allure (NL),1,1.0
tt__Allure (NL),cid__title,1.0,1
idx__1197,tt__07:11,1,1.0
tt__07:11,cid__length,1.0,1
idx__1197,tt__Wax,1,1.0
tt__Wax,cid__artist,1.0,1
idx__1197,tt__NL,1,1.0
tt__NL,cid__album,1.0,1
idx__1197,tt__2000,1,1.0
tt__2000,cid__year,1.0,1
idx__1198,tt__Allure - NL,1,1.0
tt__Allure - NL,cid__title,1.0,1
idx__1198,tt__7,1,1.0
tt__7,cid__length,1.0,1
idx__1198,tt__Wax,1,1.0
tt__Wax,cid__artist,1.0,1
idx__1198,tt__[Multiple languages],1,1.0
tt__[Multiple languages],cid__language,1.0,1
idx__1199,tt__unknown,1,1.0
tt__unknown,cid__title,1.0,1
idx__1199,tt__431880,1,1.0
tt__431880,cid__length,1.0,1
idx__1199,tt__eL Wax,1,1.0
tt__eL Wax,cid__artist,1.0,1
idx__1199,tt__NL,1,1.0
tt__NL,cid__album,1.0,1
idx__1199,tt__2000,1,1.0
tt__2000,cid__year,1.0,1
idx__1199,tt__[Multiple languages],1,1.0
tt__[Multiple languages],cid__language,1.0,1
idx__1200,tt__003-Allure,1,1.0
tt__003-Allure,cid__title,1.0,1
idx__1200,tt__7m 11sec,1,1.0
tt__7m 11sec,cid__length,1.0,1
idx__1200,tt__Le Wax,1,1.0
tt__Le Wax,cid__artist,1.0,1
idx__1200,tt__NL (2000),1,1.0
tt__NL (2000),cid__album,1.0,1
idx__1200,tt__unknown,1,1.0
tt__unknown,cid__language,1.0,1
idx__1201,tt__Atlos,1,1.0
tt__Atlos,cid__title,1.0,1
idx__1201,tt__632866,1,1.0
tt__632866,cid__length,1.0,1
idx__1201,tt__Fluxion,1,1.0
