title,length,artist,album,year,language
Java - Bar Jazz  Volume 4,1.95,Al Hirt,nan,'02,Englifsh
001-Java,1m 57sec,Al Hirt,Bar Jazz  Vol. IV (2002),nan,Eng.
Al Hirt - Java,117,nan,Bar Jazz  Volume 4,2,English
013-Domek bez adresu,2m 23sec,Czesaw Niemen,Gold Edition (2000),nan,Pol.
Domek bez adresu,143999,Czesław Niemen,Gold Edition,2000,Polish
Don Gould - The Good Life 2,13,nan,Peaktime Television,nan,English
The Human Echo - Exacto,265,nan,Sonic Blanket,nan,English
Exacto - Sonic Blanket,4.795,Human Echo,nan,nan,English
011-Exacto,4m 47sec,The Human Echo,Sonic Blanket (unknown),nan,EEng.
Exacto,287706,The Human Echo,Sonic Blanket,nan,English
Exacto (Sonic Blanket),04:47,Human Echo,Sonic Blanket,nan,nan
001-Vessels,6m 43sec,Wolf & Cub,Vessels (2007),nan,Eng.
Vessels,06:43,Wolf & Cub,Vessels,2007,nan
Vessels,403000,Wolf&  Cub,Vessels,2007,English
"Cantata  BWV 2 ""Ach Gott  vom Himmel sieh darein"": II. Recitativo ""Sie lehren eitel falsche List"" - Bach 2000: The Complete Bach Edition  Volume 1: Sacred Cantatas: BWV 1-14  16-47",1.033,Johann Sebastian Bach,nan,'99,English
2,6 2000,Johann Sebastian Bach,Bach 2000: The Complete Bach Edition  Volume 1: Sacred Cantatas: BWV 1-14  16-47,1999,English
"008-Cantata  BWV 2 ""Ach Gott  vom Himmel sieh darein"": II. Recitativo ""Sie lehren eitel falsche List""",1m 2sec,Johann Sebastian Bach,Bach 2000: The Complete Bach Edition  Volume 1: Sacred Cantatas: BWV 1-14  16-47 (1999),nan,Eng.
Memo,2m 7sec,Randy Newman,The Natural (unknown),nan,Eng.
Memo-  The Natural,2.118,Randy Newman,nan,nan,English
Memo (The Natural),02:07,Randy Newman,The Natural,nan,nan
Meom,127093,Randy Newman,The Natural,nan,English
Randy Newman - Memo,127,nan,The Natural,nan,English
B-Boy Dub Scat,186000,Ahmet İsçitürk aka GottSOUL,Davulun Sesi  Volume 01,2012,Turkish
B-Boy Dub Scat (Davulun Sesi  Volume 01),03:06,Ahmet İsçitürk aka GottSOUL,Davulun Sesi  Volume 01,2012,nan
001-I Got a Guy,3m 45sec,Ella Fitzgerald,Ella for Lovers (2003),nan,Eng.
I Got a Guy,nan,Ella Fitzgeerald,Ella for Lovers,2003,Eng lish
FUU... (GAME OVER) - MEGA DRIVE LAST ACTION HEROES,0.167,幡谷尚史,nan,'10,English
nan,10000,幡谷尚史,MEGA DRIVE LAST ACTION HEROES,2010,English
FUU... (GAME OVER) (MEGA DRIVE LAST ACTION HEROES),00:10,幡谷尚史,MEGA DRIVEE LAST ACTION HEROES,2010,nan
056-FUU... (GAME OYER),0m 10sec,nan,MEGA DRIVE LAST ACTION HEROES (2010),nan,Eng.
幡谷尚史 - FUU... (GAME OER),10,nan,MEGA DRIVE LAST ACTION HEROES,10,English
The Road of No Return - The Honky Tonk Years (1950-1966),2.637,Ray Price,nan,nan,English
Terry Gibbs - Back Bay Shuffle,164,nan,Jazz-Club Mainstream: Big Bands,91,English
018-Back Bay Shuffle,2m 44sec,Terry Gibbs,Jazz-Club Mainstream: Big Bands (1991),nan,Eng.
BZack Bay Shuffle,164067,Terry Gibbs,Jazz-Club Mainstream: Big Bands,1991,English
Back Bay Shuffle (Jazz-Club Mainstream: Big Bands),02:44,Terry Gibbs,Jazz-Club Mainstream: Big Bands,1991,nan
005-For Love,unknown,Na Ying,Conquer (unknown),nan,Eng.
For Love,nan,Na Ying,Conquuer,nan,English
Three Three Times,03:05,XY Unlimited,Three Times,20 14,nan
Unhola (Deus Humana Satanas),05:59,Sawhill Sacrifice,Deus Humana Satanas,2013,nan
003-A Dance With the Devil,4m 56sec,Chinchilla,Madttropolis (2003),nan,Eng.
Dave Pell - Mountain Greenery,171,nan,nan,0,English
Through Hell,228000,We Are the Fallen,Tear the World Down,2010,English
Madacy Kids - Now the Day Is Over,301,nan,Lullabies for Little Dreamers,3,English
Abortion,493374,Black Uhuru,Live 84,2000,English
The Wait - 2004-11-06: Pyramid Alehouse  Berkeley  CA  USA,nan,Built to Spill,nan,'04,English
010-The Wait,unknown,Built to Spill,2004-11-06: Pyramid Alehouse  Berkeley  CA  USA,2004,Eng.
Love Your Neighbbour,312000,Komor Kommando,Gothic Compilation  Part XLIV,2009,English
"Avalon (Intégrale  Volume 3: ""Djangology"")",02:53,Quintette du Hot Club de France,"Intégrale  Volume 3: ""Djangology""",1999,nan
005-Springhead Motorshark,2m 51sec,Britny Fox,Springhead Motorshark (2003),nan,Eng.
Springhead Motorshark,171133,Britny Fox,Springhead Motorshark,2003,English
Springhead Motorshark,02:51,BritnyFox,Springhead Motorshark,2003,nan
Britny Fox - Springhead Motorshark,171,nan,Springhead Motorshark,3,English
Thank You Baby,229000,The Stylistics,The Very Best of... and More,2005,English
Thank You Baby (The Very Best of... and More),03:49,Stylistics,The Very Best of... and More,2005,nan
Blindsides,nan,Buddy,Alterations and Repairs,nan,English
Blindsides (Alterations and Repairs),00:00,Buddy,Alterations and Repairs,nan,nan
Buddy - Blindsides,nan,nan,Alterations and Repairs,nan,English
3 Inches of Blood - Onward to Valhalla,190,nan,Battlecry,nan,English
Brian Matthews - Duckman Hunting Call I,2,nan,Novelty Elements,nan,English
Duckman Hunting Call I,1000,Brian Matthews,Novelty Elements,nan,English
Duckman Hunting Call I - Novelty Elements,0.017,Brian Matthews,nan,nan,English
109-Duckman Hunting Call I,0m 1sec,Brian Matthews,Novelty Elements (unknown),nan,Eng.
Bilyana - The Journey,5.201,Ageless Pathways,nan,nan,English
002-Bilyana,5m 12sec,Ageless Pathways,The Journey (unknown),nan,Eng.
007-She Wore Red,3m 12sec,House of Freaks,Invisible Jewel (1994),nan,Eng.
She Wor eRed,192666,House of Freaks,Invisible Jewel,1994,English
Theologians,238000,Wilco,2004-11-20: Marquee Theatre  Tempe  AZ  USA,nan,English
Theologians (2004-11-20: Marquee Theatre  Tempe  AZ  USA),03:58,Wilo,2004-11-20: Marquee Theatre  Tempe  AZ  USA,nan,nan
Theologians - 2004-11-20: MaErquee Theatre  Tempe  AZ  USA,3.967,Wyilco,nan,nan,English
Wilco---Theologians,238,nan,200q-11-20:  THEATRE  Temep  AZ  U SA,nan,English
003-Ruralia Hungarica - Molto Vivace,2m 9sec,Erno Dohnanyi,Kreisler: 1928 Victor Recordings: Favourite Short Pieces (unknown),nan,Eng.
Ruralia Hungarica - Molto Vivace,129000,Ernő Dohnányi,Kreisler: 1928 Victor Recordings: Favourite Short Pieces,nan,English
Ernő Dohnányi - Ruralia Hungarica - Molto Vivace,129,nan,Kreisler: 1928 Victor Recordings: Favourite Short Pieces,nan,English
Ruralia Hungarica - Molto Vivace (Kreisler: 1928 Victor Recordings: Favourite Short Pieces),02:09,Ernő Dohnányi,Kreisler: 1928 Victor Recordings: Favourite Short Pieces,nan,nan
Ruralia Hungarica - Molto Vivace - Kreisler: 1928 Victor Recordings: Favourite Short Pieces,2.15,Erőn DDohnányi,nan,nan,English
E and W African (Accents: A Manual for Actors (Revised and Expanded Edition)),03:12,Robert Blumenfeld,Accents: A Manual for Actors (Revised and Expanded Edition),2004,nan
O Karolíně (povídání),67000,Jaromír Nohavica,986: Zruč nad Sázavou  Czechoslovakia,nan,Czech
Acadian Driftwood (Northern Lights - Southern Cross),06:44,Band,Northern Lights - Southern Cross,1989,nan
The Band - Acadian Driftwood,404,nan,Northern Lights - Southern Cross,89,English
020-Street Dancer,3m 25sec,Avicii,The Dome  Volume 57 (201)1,nan,Eng.
Stuck With You - 80s Pop Party,4.382,Huey Lewis & Te News,nan,'07,English
012-Stuck With You,4m 22sec,Huey Lewis & The News,80s Pop Party (2007),nan,Eng.
Huey Lewis & The News - Stuck With You,262,nan,80s Pop Party,7,YEnglish
STUCK WITH YOU,262893,Huey Lewis & The News,80s Pop Party,2007,English
Stuck With You (80s Pop Party),04:22,Huey Lewis & The News,80s Pop Party,2007,nan
Hold On - The Emotion Collection: Just for You,3.694,Wilson Phillips,nan,nan,English
001-Hold On,3m 41sec,Wilson Phlilips,The Emotion Collection: Just for You (unknown),nan,Eng.
Beatsurfer - Leila's Vision,272,nan,Extreme  the Compilation,95,English
Leila's Vision - Extreme  the Compilation,4.533,Beatsurfer,nan,'95,English
C'est La Vie (The Charisma Poser),06:45,G.T. Moore,The Charisma Poser,1993,nan
Bluegrass Student Union - In my Brand New Automobile,159,nan,Legacy,nan,nan
Rising for the Moon (home demo) (Sandy Denny),03:05,Sandy-Denny,Sandy Denny,2010,nan
Dion & The Belmonts - A Teenager in Love,nan,nan,The Best of Boppin' 50's,89,English
A Teenager in Love - The Best of Boppin' 50's,nan,Dion & The Belmonts,nan,'89,English
James E. Talmage - Chapter 13b - Jesus Again in Galilee: at Cana And Nazareth,513,nan,Jesus The  Christ,1,English
Abschnitt 14 (Percy Jackson: Diebe im Olymp),08:01,Rick Riordan gelesen von Marius Clarén,Percy Jackson: Diebe im Olymp,2010,nan
High Sheriff of Hazard (Ramblin' Boy & Ain't That News),unk.,Tom Paxton,Ramblin' Boy & Ain't That News,nan,nan
Carlo Martello - 25-60-38 Breve saggio sulla canzone italiana,5,Folkabbestia,nan,'06,Italian
003-Tantas Horas Contigo,3m 53sec,Suburbios,Exilio (2009),nan,Spa.
001-Arnold Layne,2m 55sec,Pink Floyd,The Piper at the Gates of Dawn (2007),nan,Eng.
003-Get Your Chillums Out,13m 15sec,Move D / Namlook,Move D / Namlook XVIII: Sexoid (2008),nan,Eng.
Get Your Chillums Out,795600,Move D / Namlook,Move D / Namlook XVIII: Sexid,2008,English
Derek Close - A Little Jingle Jm,185,nan,In the Christmas Groove,11,English
A Little Jingle Jam - In the Christmas Groove,3.083,Derek Close,nan,'11,English
"Don't Cry for Me Argenttina (Pre-Madonna 7f"" edit)",3.067,Mike Flowers Pops,Don't Cry for Me Argentina,'97,English
Deep Purple - Hold On,312,nan,Listen  Learn  Read On,2,English
Hold On - Listen  Learn  Read On,5.2,Deep Purple,nan,'02,English
Fox on the Run - Lista para matar,3.728,Bella Bestia,nan,'86,Spanish
The Nat King Cole Trio - If You Can Smile and Say Yes,188,nan,Trio Classics,1,English
If You Can Smile and Say Yes,188000,The Nat King Cole Trio,Trio Classics,2001,English
If You Can Smile and Say Yes (Trio Classics),03:08,Nat King Cole Trio,Trio Classics,2001,nan
Locos y sucios (Perdida),00:00,Coki & The Killer Burritos,Perdida,nan,nan
Dark Are the Veils of Death (live) - Nightfall,4.122,Candlemass,nan,'01,English
004-Dark Are the Veils of Death (live),4m 7sec,Candlemass,Nightfall (2001),nan,nan
Dark Are the Veils of Death (live),247346,Candlemass,Nightfall,2001,unk.
Burlesca - Justine,1.617,Bruno Nicolai,nan,'69,Itaian
MALICE MIZER - ma cherie ～愛しい君へ～,324,nan,ma chérie ～愛しい君へ～,96,Japanese
001-ma cherie ,5m 24sec,MALICE MIZER,ma cherie  (1996),nan,Jap.
ma cherie ～愛しい君へ～ - ma chérie ～愛しい君へ～,5.403,MALICE MIZER,nan,'96,Japanese
Love Song (The Jackson 5 Story),03:25,Jackson 5,The Jackson 5 Story,2006,nan
The Jackson 5 - Love Song,205,nan,The Jackson 5 Story,6,English
The Fire Still Burns,05:36,Russ Ballard,The Fire Still Burns,nan,nan
008-The Fire Still Burns,5m 36sec,Russ Ballard,The Fire Still Burns (unknown),nan,ng.
The Fire Still Burns,336866,Russ Ballard,The Fire Still Burns,nan,English
Dynamite Pressure (Taio Cruz vs. Queen & David Bowie) - Best of Bootie 2010,4.05,DJ Tripp,nan,'10,English
Two Faced (Soulless),04:21,Hatred,Soulless,2004,nan
Always in Love - The Shelley Winters Project,3.373,Shelley Winters Project,nan,nan,Englsih
007-Cheat in Our Hometown,3m 19sec,Ricky Skaggs,Super Hits (1993),nan,Eng.
Don't Cheat in Our Hometown - Super Hits,3.321,Ricky Skaggs,nan,'93,English
Don't Cheat in Our Hometown,199266,Ricky Skaggs,Super Hits,1993,English
Don't Cheat in Our Hometown (Super Hits),03:19,Ricky Skaggs,Super Hits,1993,nan
Ricky Skaggs - Don't Cheat in Our Hometown,199,nan,Super Hits,3,English
001-Brother Green (The Disco King),5m 43sec,Roy Ayers Ubiquity,Mystic Voage (1993),nan,Eng.
Voices Inside My Head - 1982-01-19: Nassau Coliseum  Uniondale  NY  USA,1.433,Police,nan,nan,English
Fully  Completely - 2006-10-25: Phoenix Concert Theater  Toronto  ON  Canada,nan,Tragically Hip,nan,nan,lEnglish
013-Fully  Completely,unknown,nan,2006-10-25: Phoenix Concert Theater  Toronto  ON  Canada (unknown),nan,Eng.
9,Run  Run Rudolph (The Muppets: A Green and Red Christmas),03:10,Electric Mayhem Band,The Muppets: A Green and Red Christmas,2008
Electric Mayhem Band - Run  Run Rudolph,190,nan,The Muppets: A Green and Red Christmas,8,English
Jozef van Wissem & Jim Jarmusch - Etimasia,192,nan,The Mystery of Heaevn,12,English
Moves Like Jagger / Jumpin' Jack Flash,196000,Glee Cast,nan,2012,English
Moves Like Jagger / Jumpin' Jack Flash,03:16,Glee Cast,Moves Like Jagger / Jumpin' Jack Flash,2012,nan
Rogaciano (La Llorona),03:29,Chavela Vargas,La Llorona,1993,nan
Domeneko - Corrupt,127,nan,Noir,8,English
Lifeline 4 - A Voice and a Piano,0.717,Helen Schneider,nan,'00,English
0E14-Lifeline 4,0m 43sec,Helen Schneider,A Voice and a Piano (2000),nan,Eng.
I Hate the Sun - Hate/Human,4. 25,Cyruss,nan,'05,English
0003-Belalm,4m 23sec,Mahsun Krmzgul,Yklmadm (unknown),nan,Tur.
Mahsun Kırmızıgül - Belalım,263,nan,Yıkılmadım,nan,Turkish
Belalım (Yıkılmadım),04:23,Mahsun Kırmızıgül,Yıkılmadım,nan,nan
Belalım,263000,Mahsun Kırmızıgül,Yıkılmadım,nan,Turkish
Canzon per sonare no. 1 'La spiritata',196000,GIOVANNI Gabrieli,The Chicago Brass Ensemble  The Boston Brass Ensemble  E. Power / The Antiphonal Music of Gabrieli,nan,English
Gviovanni Gabrieli - Canzon per sonare no. 1 'La spiritata',196,nan,The Chicago Brass Ensemble  The Boston Brass Ensemble  E. Power / The Antiphonal Music of Gabrieli,nan,English
Canzon per sonare no. 1 'La spiritata' (The Chicago Brass Ensemble  The Boston Brass Ensemble  E. Power / The Antiphonal Music of Gabrieli),03:16,Giovanni Gabrieli,The Chicago Brass Ensemble  The Boston Brass Ensemble  E. Power / The Antiphonal Music of Gabrieli,nan,nan
Kaykra (Pichal Pairee),04:46,Overload,Pichal Pairee,2009,nan
002-The Metallophone Song No. 1,3m 42sec,Sebastien Roux,S. (2006),nan,Eng.
Somnolent (extended),nan,rAXYOr,Break Demon Sleep,2005,nan
Somnolent (extended) (Break Demon Sleep),00:00,rAXYOr,Break Demon Sleep,2005,nan
Space Night Bubbles (Chillout Ibiza: The Balearic Edition),04:03,En'Deavour,Chillout Ibiza: The Balearic Edition,nan,nan
uBmm!! (yo soy el Toterreno),nan,ToteKing,Un tipo cualquiera +,2007,Spanish
019-Purple Sky (Lomax remix),unknown,Electrosoul System,Infinite in All Directions (2007),nan,Eng.
Electrosoul System - Purple Sky (Lomax remix),nan,nan,Infinite in All Directions,7,Eglish
Pruple Sky (Lomax remix),nan,Electrosoul System,Infinite in All Directions,2007,English
Purple Sky (Lomax remix) (Infinite in All Directions),00:00,Electrosoul System,Infinite in All Directions,2007,nan
Purplee Sky (Lomx remix) - Infinite in All Directions,nan,Electrosoul System,nan,'07,English
Lookin Boy (feat. Yung Joc) - Total Club Hits 2,2.6,Hotstylz,nan,'09,English
014-Lookin Boy (feat. Yung Joc),2m 36sec,Hotstylz,Total Club Hits 2 (2009),nan,Eng.
Hotstylz - Lookin Boy (feat. Yung Joc),156,nan,Total Club Hits 2,9,English
Lookin Boy (feat. Yung Joc),156000,Hotstylz,Total Club Hits 2,2009,English
Lookin Boy (feat. Yung Joc) (Total Club Hits 2),02:36,Hotstylz,Total Club Hits 2,2009,nan
Luke Haines and The Auteurs - Starstruck,212,nan,unk.,3,English
Psicodelicia (Wow! E.P.),08:01,Joan Reyes,Wow! E.P.,2008,nan
Joan Reyes - Psicodelicia,481,nan,W. F.P.,8,English
017-Tid Bit,0m 33sec,Scaterd Few,Out of the Attic (1994),nan,Eng.
Monographic,276000,Blue Birds Refuse to Fly,Xenomorph Angel,nan,English
Monographic (Xenomorph Angel),04:36,Blue Birds Refuse to Fly,Xenomorph Angel,nan,nan
Blue Birds Refuse to Fly - Monographic,276,nan,Xenomorph Angel,nan,English
Nimbasa City (Nintendo DS Pokémon Black · White Super Music Collection),01:59,景山将太,Nintendo DS Pokémon Black · White Super Music Collection,2010,nan
Hig h Noon,179000,Tony Anderson,Movies Themes,1987,Gerfman
009-Mes morts,5m 13sec,Superflu,Tchin Tchin (2000),nan,Fre.
Mes morts (Tchin Tchin),05:13,Superflu,Tchin Tchin,2000,nan
Mes morts,313000,Superflu,Tchin Tchin,2000,French
Charles Olson - Letter 27: Maximus to Gloucester,195,nan,Totally Corrupt (The Dial-A-Poem Poets),76,Eglish
Vortex - The Female Thief,6.983,Female Thief,nan,'12,English
The Female Thief - Vortex,419,nan,The FEMALE Thief,12,English
Vortex,419000,The Female Thief,The Female Thief,2012,English
003-Vortex,6m 59sec,The Female Thief,The Female Thief (2012),nan,Eng.
Vortex (The Female Thief),06:59,Female Thief,TheFemaleThief,2012,nan
K12 - Ching a Ring Chaw,96,nan,K12: Let's Sing  Volume 3,nan,nan
Seven Seas - Stone Butterfly,4.247,神保彰,nan,unknown,EnglDish
Seven Seas (Stone Butterfly),04:14,神保彰,Stone Butterfly,1997,nan
神保彰 - Seven Seas,254,nan,Stone Butterfly,97,Englipsh
In My Neighborhood (My Kind of Livin'),03:38,Craig Morgan,nan,2005,nan
You and Me and the Mountain,03:46,Maps & Atlases,You and Me and the Mountain,2008,nan
(Paquito D'Rivera & The United Nation Orchestra Live),06:52,Paquito D'Rivera,Paquito D'Rivera & The United Nation Orchestra Live,nan,nan
Paquito D'Rivera - Despojo,412,nan,Paquito D'Rivera & The United Nation Orchhestra Live,nan,English
Despojo - Paquito D'Rivera & The United Nation Live,6.88,Paquito D'Rivera,nan,nan,English
Sex Gang Children - Les Amants D'un Jour,nan,nan,Demonstration,0,English
Les Amants D'un Jour - Demonstration,nan,Sex Gang Children,nan,'00,English
002-Dancing in the Sun,6m 38sec,George Howard,Dancing in the Sun (1985),nan,Eng.
George Howard - Dancing in the Sun,398,nan,Dancing in the Sun,85,English
Dancing in the Sun,06:38,George Howard,Dancing in the Sun,1985,nan
Dancing in the Sun,6.633,George Howard,Dancing in the Sun,'85,Eenglish
Dancing in the Sun,398000,George Howard,Dancing in the Sun,1985,English
Nul tolerantie (remix) (Origineel Amsterdams),05:28,Osdorp Posse,Origineel Amsterdams,2000,nan
Dancehall Night (feat. Zebra Man & Kose) (Bring Back di History for the Future),00:00,CORN HEAD,Bring Back di History for the Future,2006,nan
CORN HEAD - Dancehall Night (feat. Zebra Man & Kose),nan,nan,Bring Back di History for the Future,6,Japanese
013-You're Lovely  Madame,2m 55sec,Benny Goodman,Smoke House Rhythm (unknown),nan,Eng.
You're Lovely  Madame,175560,Benny Goodman,Smoke House Rhythm,nan,English
Fireworks After Midnight,165533,GGold Motel,Summer House,2010,English
6/8 March  Hornpipe (The Rough Guide to Scottish Music),02:53,Donald Black & Malcolm Jones,The Rough Guide to Scottish Music,2003,nan
Donald Black & Malcolm Jones - 6/8 March  Hornpipe,173,nan,The Rough Guide to Scottish Music,3,English
Cassino - The Old Year,nan,nan,Sounds of Salvation,7,English
Andreas Mangweth - Malfunction: Destination Darkness,185,nan,Assembly Lines & Industrial Machine,nan,English
Malfunction: Destination Darkness,185000,Andreas Mangweth,Assembly Lines & Industrial Machine,nan,English
Malfunction: Destination Darkness - Assembly Lines & Industrial Machine,3.083,Andreas Mangwteh,nan,nan,English
015-Malfunction: Destination Darkness,3m  5sec,Andreas Mangweth,Assembly Lines & Industrial Machine (unknown),nan,Eng.
Malfunction: Destination Darkness (Assembly Lines & Industrial Machine),03:05,Andreas Mangweth,assembly lines & industrialmachine,nan,nan
I'v eGot You Under My Skin,3m 25sec,Bill Evans & Jim Hall,Anything Goes: The Cole Porter Songbook Instrumentals (1993),nan,Emg.
Curse Me - Home Grown,3.746,Zac Brown Band,nan,'05,English
Happiness in Slavery,110000,Nine Inch Nails,2007-10-03: Reading Festival  Reading  UK,nan,English
Beyond the Net,110000,John Cameron,Secrets of the 20th Century,nan,English
Beyond the Net (Secrets of the 20th Century),01:50,John Cameron,Secrets of the 20th Century,nan,nan
nan,3.25,Sokak Köpekleri,nan,'07,Turkish
018-Sweet Pea,2m 34sec,Mrs. Miller,Ultra-Lounge: Wild  Cool & Swingin': The Artist Collection  Vol. III (1999),nan,Eng.
Sweet Pea Pea,154226,Mrs. Miller,Ultra-Lounge: Wild  Cool & Swingin': The Artist Collection  Volume 3,1999,English
Sweet Pea (Ultra-Lounge: Wild  Cool & Swingin': The Artist Collection  Volume 3),unknown,Mrs. Miller,Ultra-Lounge: Wild  Cool & Swingin': The Artist Collection  Volume 3,1999,nan
007-Thee Cult of Henry Flynt,7m 1sec,Horsebck,A Plague of Knowing: Singles  Splits  and Rarities (2013),nan,Eng.
Thee Cult of Henry Flynt,421000,Horseback,A Plague of Knowing: Singles  Splits  and Rarities,2013,English
Horseback - Thee Cult of Henry Flynt,421,nan,A Plague of Knowing: Singles  Splits  and Rarities,13,English
Thee Cult of Henry Flynt (A Plague of Knowing: Singles  Splits  and Rarities),07:01,Horeback,A Plague of Knowing: Singles  Splits  and Rarities,2013,nan
Thee Cult of Henry Flynt - A Plague of Knowing: Singles  Splits  and Rarities,7.017,Horseback,nan,'13,English
Blue House (Pottwalplatte 2),05:36,Roy and the Devil's Motorcycle,Pottwalplatte 2,2007,nan
Strategy of Buying Blind,186900,Blastronaut,Burning Mother,nan,English
Strange Changes (Electric),nan,Tommy Coyle,Voodoo Sessions,2012,English
Tommy Coyle - Strange Changes (Electric),nan,nan,Voodoo Sessions,12,English
Strange Changes (Electric) (Voodoo Sessions),00:00,Tommy Coyle,Voodoo Sessions,2012,nan
Strange Changes (Electric) - Voodoo Sessions,nan,Tommy Coyle,nan,'12,English
Requiem: I. Introitus (Collegium Vocale Gent  Musica Antiqua Köln  feat. director: Philippe Herreweghe),852000,JeanG illes,Trésors d'Archiv: The Best Eary Music Recordings,1995,[Multiple languages]
Requiem: I. Introitus (Collegium Vocale Gent  Musica Antiqua Köln  feat. director: Philippe Herreweghe) - Trésors d'Archiv: The Best Early Music Recordings,14.2,Jean Gilles,nan,'95,[Multiple languages]
Jean Gilles - Requiem: I. Introitus (Collegium Vocale Gent  Musica Antiqua Köln  feat. director: Philippe Herreweghe),852,nan,Trésors d'Archiv: The Best Early Music Recordings,95,[Multiple languages]
Requiem: I. Introitus (Collegium Vocale Gent  Musica Antiqua Köln  feat. director: Philippe Herreweghe) (Trésors d'Archiv: The Best Early Music Recordings),14:12,Jean Gilles,Trésors d'Archiv: The Best Early Music Recordings,1995,nan
Sneaky Sound System - I Love It,229,nan,Pictures,nan,English
I Love It,229000,Sneaky Sound System,Pictures,nan,English
I Love It (Pictures),03:49,Sneaky Sound System,Pictures,nan,nan
News,nan,Randolph's Leap,Randolph's Leap & The Curse of the Haunted Headphones,2012,English
Bolero - The Very Best of Arthurr Lyman,4.114,Arthur Lyman,nan,nan,English
009-Let's find a way,5m 27sec,Mamas Gun,Routes To Riches (Japanese Edtion with Bonus) (unknown),nan,Eng.
Let's find a way,327440,Mamas Gun,Routes To Riches  Edtion with Bonus),nan,English
011-Amen  Amen ,2m 35sec,The Winstons,Color Him Father (2000),nan,Eng.
Always Come Back to Your Love - 100 Love Classsics,3.566,Samantha Mumba,nan,'07,English
001-Pygmalion's Dream (edit),2m 30sec,The Cruxshadows,2007-01-21: DNA Lounge: San Francisco  CA  USA,2007,Eng.
Muere el silencio (Darna),04:03,Darna,Darna,2002,nan
Spacedq Out (Reefer Smokin' Man),00:00,Mason Casey,Reefer Smokin' Man,2000,nan
Mason Casey - Spaced Out,nan,nan,Reefer Smokin' Man,0,English
008-Spaced Out,unknown,Mason Casey,Reefer Smokin' Man (2000),nan,Eng.
Spaced Out,nan,Mason Casey,Reefer Smokin' Man,2000,English
Spaced Out - Reefer Smokin' Man,nan,Mason Casey,nan,'00,English
Hasta el final - Final Boss,4.05,Dremen,nan,'12,[Multiple languages]
The Battle Rages On -  1990–1996,5.95,Deep Purple,nan,nan,English
Set Fire to the Rain - Radio 538 Hitzone 57,4.033,Adele,nan,nan,English
Henri Gylander - So Easily,184,nan,Henri in English,nan,nan
So Easily (Henri in English),03:04,Henri Gylander,Henri in English,nan,nan
011-Tjernobilleke,3m 5sec,Urbanus,Urbanus in 't echt (1986),nan,Dut.
Tjernobilleke,185866,Urbanus,Urbanus in 't echt,1986,Dutch
Soliloquy - OMNI Instrumentals over the ages,4.2,Omni,nan,'12,English
Soliloquy,252000,Omni,OMNI Instrumentals over the ages,2012,English
001-Soliloquy,4m 12sec,Omni,OMNI Instrumentals over the ages (2012),nan,Eng.
Powerslave,421000,Futures End,Memoirs of a Broken Man,2009,English
Powerslave (Memoirs of a Broken Man),07:01,Futures End,Memoirs of a Broken Man,2009,nan
Futures End - Powerslaev,421,nan,Memoirs of a Broken Man,9,English
011-Oursel ves to Know,3m 17sec,Warren Zevon,Life'll Kill Ya (unknown),nan,Eng.
Ourselves to Know (Life'll Kill Ya),03:17,Warren Zevon,Life'll Kill Ya,nan,nan
Ourselves to Know,197533,Warren Zevon,Life'll Ya Kill,nan,English
Georges Delerue - La Mort de Gabrielle,50,nan,La Révolution française,3,French
My Incredibly Nerdy Cute Little Lady,112000,Dandelion Hands,19,2012,English
Everything in Its Right Place (2002-08-02: Benicassim Festival  Benicassim  Spain),06:48,Radiohead,2002-08-02: Benicassim Festival  Benicassim  Spain,nan,nan
Hundred Seventy Split - All My Yesterdays,nan,nan,The World Won't Stop,nan,nan
Sowas von (Joplin) - Mini Disco Hits,3.939,Grünschnabel,nan,'14,German
Sowas von (Jopllin),236320,Grünschnabel,Mini Disco Hits,2014,German
Sowas von (Joplin) (Mini Disco Hits),03:56,Grünschnabel,Mini Disco Hits,2014,nan
013-Sowas von (Joplin),3m 56sec,Grunschnabel,Mini Disco Hits (2014),nan,Ger.
007-I Promise Myself,2m 42sec,ATeens,Bodywork IV (unknown),nan,Eng.
Skin o’ My Teeth - Countdown to Extinction,3.233,Megadeth,nan,'12,English
Éamonn Coyne & Kris Drever - Isle of France,294,nan,Storymap,13,English
Isle of France - Storymap,4.g1,Éamonn Coyne & Kris Drever,nan,'13,English
Baby I'm Yours - Cass Elliot,2.483,Cass Elliot,nan,'72,English
002-Baby I'm Yours,2m 29sec,Cass Elliot,Cass Elliot (1972),nan,Eng.
Baby I'm Yours (Cass Elliot),02:29,Cass Elliot,Cass Elliot,1972,nan
Baby I'm Yours,194000,Cass Elliot,Cass Elliot,1972,English
Sex (I'm A ...) (Retro Lunchbox: Squeeze the Cheeze),05:06,Berlin,Retro Lunchbox: Sqeueze the Cheeze,2008,nan
005-Sex (I'm A ...),5m 6sec,Berlin,Retro Lunchbox: Squeeze the Cheeze (1997),nan,Eng.
Sex (I'm A ...),306093,Berlin,Retro Lunchbox: Squeeze the Cheeze,1997,English
Berlin - Sex (I'm A ...),306,nan,Retro Lunchbox: Squeeze the Cheeze,97,English
Sex (I'm A ...) - Retro Lunchbox: Squeeze the Cheeze,5.102,Berlin,nan,'97,English
Crippled Mind - Public Relations,5.35,Blues Company,nan,'93,English
