TID,CID,CTID,SourceID,id,number,title,length,artist,album,year,language
1216,638,1,2,MBox43952632-HH,3,Lemon D - Jah Love (VIP Remix),,,Jungle Renegades Vol. 2,,English
12931,638,4,5,16262482,3,Jah Love (VIP Remix),,Lemon D,Jungle Renegades Vol. 2,,English
14554,638,5,1,WoM32524948,3,Jah Love (VIP Remix) (Jungle Renegades Vol. 2),05:52,Lemon D,Jungle Renegades ol. 2,,
15771,638,2,3,70706 417MB-01,3,Jah Love (VIP Remix) - Jungle Renegades Vol. 2,5.88,Lemon D,,,English
19336,638,3,4,229049-A036,3,003-Jah Love (VIP Remix),5m 52sec,Lemon D,Jungle Renegades Vol. 2 (unknown),,Eng.
1217,639,1,5,3496685,14,Interview,178013,D. Hataway,"These Songs for You, Live!",2004,English
2315,639,3,2,MBox9450512-HH,14,Donny Hathaway - Interview,178,,"These Songs for You, Live!",4,English
18947,639,2,1,WoM699341,14,"Interview (These Songs for You, Live!)",02:58,Donny Hathaway,"These Songs for You, Live!",2004,
1220,641,1,1,WoM4607630,2,"Carlos, Lucia, Chico e Tiago (Milagre dos peixes (remastered))",06:04,Milton Nascimento,Milagre dos peixes (remastered),,
2048,641,2,2,MBox6226521-HH,2,"Milton Nascimento - Carlos, Lucia, Chico e Tiago",364,,Milagre dos peixes (remastered),,Portuguese
1222,642,1,2,MBox2764582-HH,13,"Véronique Rivière - Baby, I'm a Want You",182,,Véronique Rivière,89,French
3563,642,3,4,144069-A070,13,"013-Baby, I'm a Want You",3m 2sec,Veronique Riviere,Veronique Riviere (1989),,Fre.
3632,642,2,3,44473615MB-01,13,"Baby, I'm a Want You - Véronique Rivière",3.033,Véronique Rivière,,'89,French
4864,642,4,5,10228936,13,"Baby, I'm a Want You",182000,Véronique Rivière,Véronique Rivèire,1989,French
7331,642,5,1,WoM2045792,13,"Baby,I'maWantYou(VéroniqueRivière)",03:02,Véronique Rivière,Véronique Rivière,1989,
1228,646,1,3,42829314MB-01,7,Mere Ornaments - Singing Ax,4.75,J. Tillman,,'10,English
5075,646,2,4,138743-A026,7,007-Mere Ornaments,4m 45sec,J. Tillman,Singing Ax (2010),,Eng.
1229,647,1,2,MBox7970610-HH,3,Britney Spears - Stronger,203,,MTV Select,,English
15984,647,2,3,12822221MB-01,3,Stronger - MTV Select,3.385,Britney Spears,,,English
1230,648,1,4,12704-A02,12,012-Smart Patrol / Mr. DNA,6m 6sec,DEOV,Duty Now for the Future (1994),,unknown
3426,648,2,5,901953,12,Smart Patrol / Mr. DNA,366226,DEVO,Duty Now for the Future,1994,
643,650,2,3,64366010MB-01,4,Die Schildkröten - Kribbel-Krabbel,2.653,Joe Tabu,,'06,German
1234,650,1,2,MBox40011314-HH,5,Joe Tabu - Die Schildkröten,159,,Kribbel-Krabbel,6,German
1238,652,1,3,7157386MB-01,2,Denial - Naked Power,4.5,Bia,,,
9158,652,3,5,16461973,2,Denil,270000,Bia,Naked Power,,
12086,652,2,4,231859-A017,2,002-Denial,4m 30sec,Bia,Naked Power (unknown),,unknown
1241,654,1,2,MBox2931148-HH,7,Deception - Inferno,510,,Inferno,11,English
2092,654,2,3,4715318MB-01,7,Inferno,8.5,Deception,Inferno,'11,English
354,655,2,4,94895-A034,1,001-Why Did They Sell Killarney?,unknown,Joseph . Natus,Why Did They Sell Killarney? (1900),,Eng.
1243,655,1,3,2929372MB-01,1,Why Did They Sell Killarney?,,Joseph H. Natus,Why Did They Sell Killarney?,'00,English
1246,657,1,5,15642446,5,kPassion,258000,Gast Décor,The Pete Tong Collection,2013,English
13867,657,2,1,WoM31284912,5,Passion (The Pete Tong Collection),04:18,Gat Décor,Pete Pete Tong Collection,2013,
1252,660,1,5,2696846,4,My Lucky Day,380733,Metro,Tree People,,English
2321,660,3,2,MBox728882-HH,4,Metro - My Lucky Day,380,,Tree People,,English
9142,660,2,1,WoM5393712,4,My Lucky Day (Tree People),06:20,Metro,Tree People,,
9515,660,4,3,11725411MB-01,4,My Lucky Day - Tree People,6.346,Metro,,,English
1255,662,1,4,202568-A021,15,015-Extacy,3m 31sec,Shades of Rhythm,The All Time Greatest Hits of Dance 2 (1993),,Eng.
4773,662,2,5,14382316,15,Extacy,211773,Shades of Rhythm,The All Time Greatest Hits of Dance 2,1993,English
1257,663,1,3,38927117MB-01,8,How High the Moon - World of jazz - The Jazz Trumpet,2.933,Harry James,,'91,English
1378,663,2,4,126102-A034,8,008-How High the Moon,2m 56sec,Harry James,World of jazz - The Jazz Trumpet (1991),,Eng.
1258,664,1,4,69327-A018,3,003-I've Changed My Number,3m 30sec,Plush,Rough Trade Shops: Singer Songwriter 1 (2006),,Eng.
3162,664,3,1,WoM9844418,3,I've Changed My Number (Rough Trade Shops: Singer Songwriter 1),03:30,Plush,Rough Trade Shops: Singer Songwriter 1,2006,
7181,664,2,5,4922202,3,I've Changed My Number,210000,Plush,Rough Trade Shops: Singer Songwriter 1,2006,English
1260,665,1,1,WoM771989,5,Honey Coral Rock (Negril),05:13,Eric Gale,Negril,2003,
5118,665,2,2,MBox10432128-HH,5,Eric Gale - Honey Coral Rock,31 3,,Negril,3,English
8693,665,3,3,16782117MB-01,5,Honey Coral Rock - Negril,5.222,Eric Gale,,'03,English
1271,670,1,2,MBox1498743-HH,3,Novi Singers - All Together,187,,Go Right: Jazz From Poland 1963-75,99,English
9693,670,4,5,5545329,3,All Together,187000,Novi Singers,Go Right: Jazz From Poland 1963-75,1999,English
12455,670,3,4,78103-A049,3,003-Together All,3m 7sec,Novi Singers,Go Right: Jazz From Poland 1963-75 (1999),,Eng.
17338,670,2,3,24110113MB-01,3,All Together - Go Right: Jazz From Poland 1963-75,3.117,Novi Singers,,'99,English
1274,671,1,5,2031223,14,"Enigma Variations, Op. 36: Variation 11 ""G.R.S."": Allegro di molto",59973,Sir Edward Elgar,"Enigma Variations, etc.",1997,nglish
2359,671,2,1,WoM4062439,14,"Enigma Variations, Op. 36: Variation 11 ""G.R.S."": Allegro di molto (Enigma Variations, etc.)",00:59,Sir Edward Elgar,"Enigma Variations, etc.",1997,
12071,671,3,2,MBox548989-HH,,"Sir Edward Elgar - Enigma Variations, Op. 36: Variation 11 ""G.R.S."": Allegro di molto",59,,"Enigma Variations, etc.",97,English
180,673,2,2,MBox34742433-HH,10,Plump DJs - Acid Hustle,189,,Finger Lickin' Thang 4,6,English
1276,673,1,1,WoM25709425,10,Acid-Hustle-(Finger-Lickin'-Thang-4),03:09,Plump-DJs,Finger-Lickin'-Thang-4,2006,
1281,677,1,5,16661838,7,Rotor,826000,Tété,Primary Structures,2011,English
4391,677,3,2,MBox45032010-HH,7,Tété - Rotor,unk.,,Primary Structures,11,English
14170,677,2,1,WoM3332374,7,Rotor (Primary Structures),04:46,Tété,Primary Structures,2011,
1286,679,1,4,39061-A022,17,017-Pass That Dutch,3m 43sec,Missy Elliott,"Triple J: Hottest 100, Vol. XI (2004)",,Eng.
15834,679,2,5,2773320,17,Pass That Dutch,unk.,Missy Elliott,"Triple J: Hottest 100, Volume 11",2004,English
1287,680,1,4,,13,013-A Couple of Song and Dance Men,2m 17sec,Fred Astaire,Golden Greats (2002),,Eng.
2603,680,2,5,5568040,13,A Couple of Song and Daance Men,137973,Fred Astaire,Golden Greats,2002,English
15058,680,3,1,WoM1113616,13,A COUPLE OF SONG AND DANCE MEN (GOLDEN GREATS),02:17,Fred Astaire,Golden Greats,2002,
679,681,4,5,4873046,17,Through the Fire and Flames,301000,DragonForce,Sleeveless: A Purevolume Digital Collection,2006,English
1289,681,1,2,MBox13170410-HH,17,DragonForce - Through the Fire and Flames,301,,Sleeveless: A Purevolume Digital Collection,6,English
10902,681,5,1,WoM9746112,17,Through the Fire and Flames (Sleeveless: A Purevolume Digital Collection),05:01,DragonForce,Sleeveless: A Purevolume Digital Collection,2006,
11513,681,2,3,21187120MB-01,17,Through the Fire and Flames - Sleeveless: A Purevolume Digital Collection,5.017,DragonForce,,'06,English
13486,681,3,4,68634-A065,17,017-Through the Fire and Flames,5m 1sec,DragonForce,Sleeveless: A PureVolume Digital Collection (2006),,Eng.
672,682,4,5,6627497,9,No Matter What Goes Right,272826,Trout Fishing in America,1995 Kerrville Highlights,1995,English
859,682,2,3,2881528MB-01,9,No Matter What Goes Right - 1995 Kerrville Highlights,4.547,Trout Fishing in America,,'95,English
1291,682,1,2,MBox17912132-HH,9,Trout Fishing in America - No Matter What Goes Right,272,,1995 Kerrville Highlights,95,English
4675,682,3,4,93345-A035,9,009-No Matter What Goes Right,4m 32sec,Trout Fishing in America,1995 Kerrville Highlights,1995,Eng.
1292,683,1,5,7088770,9,United We Stand,169000,Brotherhood of Man,True Seventies,2006,English
4612,683,2,1,WoM14177536,9,United We Stand (True Seventies),02:49,Brotherhood of Man,True Seventies,2006,
4638,683,4,3,30820716MB-01,8,United We Stand - True Seventies,2.817,Brotherhood,,'06,English
14925,683,3,2,MBox19158826-HH,9,Brotherhood of Man - United We Stand,169,,True Seventies,6,English
1293,684,1,4,21188-A06,6,006-To Be Free (Spanish version radio edit),3m 58sec,Mike Oldfield,Thou Art in Heaven: The Remixes (2002),,Eng.
3207,684,5,3,6540513MB-01,6,To Be Free (Spanish version radio edit) - Thou Art in Heaven: The Remixes,3.971,Mike Oldfield,,'02,English
10725,684,4,2,MBox4065724-HH,6,Mike Oldfield - To Be Free (Spanish (Spanish radio edit),238,,Thou Art in Heaven: The Remixes,2,English
16827,684,3,1,WoM3008637,6,To Be Free (Spanish version radio edit) (Thou Art in Heaven: The Remixes),03:58,Mike Oldfield,Thou Art in Heaven: The Remixes,2002,
18777,684,2,5,15043 21,6,To Be Free (Spanish version radio edit),238280,Mike Oldfield,Thou Art in Heaven: The Remixes,2002,English
1302,688,1,3,6247636MB-01,5,Bà wáng bié jī: Quàn jūn wáng yǐn jiǔ tīng yú gē - Jīng jù zhī xīng: Diāo Lì zhuān jí,5.499,刁丽,,,Chinese
3067,688,2,4,202388-A033,5,005-Ba wang bie ji: Quan jun wang yin jiu ting yu ge,5m 29sec,,Jing ju zhi xing: Diao Li zhuan ji (unknown),,Chi.
1309,691,1,2,MBox19655435-HH,12,Mr. Drastick - I Don't Wanna See,,,The Gladiators Anthem,8,English
1494,691,2,3,31619620MB-01,12,I Don't Wanna See - The Gladiators Anthem,,Mr. Drastick,,'08,English
1312,692,1,3,4017609MB-01,58,"Tribal Nation F - Drama Plus, Volume 5",0.5,Todd Wollons & Thomas Merecez & Patrice C. Irving,,,English
8540,692,3,5,9240482,57,Tribal Nation F,30000,Todd Wollons & Thomas Merecez & Patrice C. Irving,"Drama Plus, Volume 5",,English
14177,692,2,4,130148-A07,57,057-Tribal Nation F,0m 30sec,Todd Wollons & Thomas Merecez & Patrice C. Irving,"Drama Plus, Vol. V (unknown)",,Eng.
1313,693,1,5,2215379,4,Mein Heib,368026,Leiendecker Bloas,Gammer,1998,German
2869,693,2,1,WoM4430745,4,Leiendecker Bloas,06:08,Mein Heib (Gammer),Gammer,1998,
11627,693,3,2,MBox5987516-HH,4,Leiendecker Bloas - Mein Heib,368,,Gammeer,98,German
1314,694,1,1,WoM1540566,9,"Ei Giunge! Tornai Ai Felici Di (Le Villi (Ambrosian Opera Chorus, National Philharmonic Orchestra, feat. conductor Lorin Maazel))",11:22,Giacomo Puccini,"Le Villi (Ambrosian Opera Chorus, National Philharmonic Orchestra, feat. conductor Lorin Maazel)",,
11938,694,2,2,MBox20818331-HH,9,Giacomo Puccini - Ei Giunge! Tornai Ai Felici Di,682,,"Le Villi (Ambrosian Opera Chorus, National Philharmonic Orchestra, feat. conductor Lorin Maazel)",,Italain
1322,697,1,2,MBox2869033-HH,4,U2 - Where the Streets Have No Name,342,,"1993-08-28: Zoo Europa: Royal Dublin Society Arena, Dublin, Ireland (disc 2)",,n.a.
17493,697,2,3,4615416MB-01,4,"Where the Streets Have No Name - 1993-08-28: Zoo Europa: Royal Dublin Society Arena, Dublin, Ireland (disc 2)",5.706,UU2,,,English
18155,697,3,4,14951-A063,4,004-Where the Streets Have No Name,5m 42sec,U2,"1993-08-28: Zoo Europa: Royal Dublin Society Arena, Dublin, Ireland (disc 2) (unknown)",,Eng.
1325,698,1,4,134540-A034,276,276-Brass Bit 2,0m 2sec,Harry BluVestone,Comedpy / Cartoon (unknown),,Eng.
8642,698,2,5,9552341,276,Brass Bit 2,2000,Harry Bluestone,Comedy / Cartoon,,English
1339,703,1,4,121450-A065,44,044-Laughter at the Royal Court,0m 30sec,Jean-Marie Philibert & Yohann Bourdin,FX in the Mix (unknown),,Eng.
4919,703,2,5,8622982,44,Laughter at the Royal Court,30000,Jean-Marie Philibert & Yohann Bourdin,FX in the Mix,,English
1341,704,1,4,125143-A069,3,"003-Concerto for Piano and Orchestra No. 9 in E-flat major, K. 271: III. Rondo. Presto",10m 8sec,Wolfgang Amadeus Mozart,Spectacular Classics (uunknown),,Eng.
10817,704,2,5,8885189,3,"Concerto for Piano and Orchestra No. 9 in E-flat major, K. 271: III. Rondo. Presto",608240,Wolfgang Amadeus Mozart,Spectacular Classics,,English
1348,709,1,5,3068966,7,All I Have to Offer is Love,228533,DustyS pringfield,A Very Fine Love,1995,English
10927,709,2,1,WoM6137932,7,All I Have to Offer is Love (A Very Fine Love),03:48,Dusty Springfield,A Very Fine Love,1995,
1349,710,1,5,3480840,1,Java,117000,Al Hirt,"Bar Jazz, Volume 4",2002,English
14077,710,2,1,WoM696176,1,"Java (Bar Jazz, Volume 4)",01:57,Al Hirt,"Bar Jazz, Volume 4",2002,
15677,710,4,3,1513414MB-01,1,"Java - Bar Jazz, Volume 4",1.95,Al Hirt,,'02,Englifsh
17814,710,5,4,49026-A027,1,001-Java,1m 57sec,Al Hirt,"Bar Jazz, Vol. IV (2002)",,Eng.
18055,710,3,2,MBox940773-HH,1,Al Hirt - Java,117,,"Bar Jazz, Volume 4",2,English
1353,711,1,4,150143-A035,13,013-Domek bez adresu,2m 23sec,Czesaw Niemen,Gold Edition (2000),,Pol.
2409,711,2,5,10660155,13,Domek bez adresu,143999,Czesław Niemen,Gold Edition,2000,Polish
1273,713,5,2,MBox9583526-HH,11,The Human Echo - Exacto,265,,Sonic Blanket,,English
1358,713,1,3,1541706MB-01,11,Exacto - Sonic Blanket,4.795,Human Echo,,,English
2352,713,2,4,49942-A060,11,011-Exacto,4m 47sec,The Human Echo,Sonic Blanket (unknown),,EEng.
12383,713,3,5,3545909,11,Exacto,287706,The Human Echo,Sonic Blanket,,English
13339,713,4,1,WoM7091825,11,Exacto (Sonic Blanket),04:47,Human Echo,Sonic Blanket,,
1361,714,1,4,97294-A06,1,001-Vessels,6m 43sec,Wolf & Cub,Vessels (2007),,Eng.
1409,714,3,1,WoM13815713,1,Vessels,06:43,Wolf & Cub,Vessels,2007,
18077,714,2,5,6907847,1,Vessels,403000,Wolf&  Cub,Vessels,2007,English
1363,715,1,3,39430520MB-01,8,"Cantata, BWV 2 ""Ach Gott, vom Himmel sieh darein"": II. Recitativo ""Sie lehren eitel falsche List"" - Bach 2000: The Complete Bach Edition, Volume 1: Sacred Cantatas: BWV 1-14, 16-47",1.033,Johann Sebastian Bach,,'99,English
5004,715,3,5,9069028,8,2,6 2000,Johann Sebastian Bach,"Bach 2000: The Complete Bach Edition, Volume 1: Sacred Cantatas: BWV 1-14, 16-47",1999,English
13293,715,2,4,127733-A018,8,"008-Cantata, BWV 2 ""Ach Gott, vom Himmel sieh darein"": II. Recitativo ""Sie lehren eitel falsche List""",1m 2sec,Johann Sebastian Bach,"Bach 2000: The Complete Bach Edition, Volume 1: Sacred Cantatas: BWV 1-14, 16-47 (1999)",,Eng.
1365,716,1,4,214601-A06,6,Memo,2m 7sec,Randy Newman,The Natural (unknown),,Eng.
4594,716,5,3,6624632MB-01,6,Memo-  The Natural,2.118,Randy Newman,,,English
10659,716,3,1,unk.,6,Memo (The Natural),02:07,Randy Newman,The Natural,,
15988,716,2,5,15236644,6,Meom,127093,Randy Newman,The Natural,,English
17383,716,4,2,MBox41180119-HH,6,Randy Newman - Memo,127,,The Natural,,English
1366,717,1,5,15187323,4,B-Boy Dub Scat,186000,Ahmet İsçitürk aka GottSOUL,"Davulun Sesi, Volume 01",2012,Turkish
7822,717,2,1,WoM30374639,4,"B-Boy Dub Scat (Davulun Sesi, Volume 01)",03:06,Ahmet İsçitürk aka GottSOUL,"Davulun Sesi, Volume 01",2012,
1367,718,1,4,24309-A058,1,001-I Got a Guy,3m 45sec,Ella Fitzgerald,Ella for Lovers (2003),,Eng.
1996,718,2,5,1725964,1,I Got a Guy,,Ella Fitzgeerald,Ella for Lovers,2003,Eng lish
330,719,4,3,6512603MB-01,56,FUU... (GAME OVER) - MEGA DRIVE LAST ACTION HEROES,0.167,幡谷尚史,,'10,English
1370,719,1,5,14978976,56,,10000,幡谷尚史,MEGA DRIVE LAST ACTION HEROES,2010,English
2856,719,2,1,WoM29957942,56,FUU... (GAME OVER) (MEGA DRIVE LAST ACTION HEROES),00:10,幡谷尚史,MEGA DRIVEE LAST ACTION HEROES,2010,
4760,719,5,4,210971-A068,56,056-FUU... (GAME OYER),0m 10sec,,MEGA DRIVE LAST ACTION HEROES (2010),,Eng.
8530,719,3,2,MBox40483719-HH,56,幡谷尚史 - FUU... (GAME OER),10,,MEGA DRIVE LAST ACTION HEROES,10,English
817,721,4,2,MBox7222832-HH,18,Terry Gibbs - Back Bay Shuffle,164,,Jazz-Club Mainstream: Big Bands,91,English
1379,721,1,4,37640-A049,18,018-Back Bay Shuffle,2m 44sec,Terry Gibbs,Jazz-Club Mainstream: Big Bands (1991),,Eng.
3945,721,2,5,2672456,18,BZack Bay Shuffle,164067,Terry Gibbs,Jazz-Club Mainstream: Big Bands,1991,English
13137,721,3,1,WoM5344922,18,Back Bay Shuffle (Jazz-Club Mainstream: Big Bands),02:44,Terry Gibbs,Jazz-Club Mainstream: Big Bands,1991,
1380,722,1,4,168623-A035,5,005-For Love,unknown,Na Ying,Conquer (unknown),,Eng.
18127,722,2,5,11972235,5,For Love,,Na Ying,Conquuer,,English
1395,730,1,3,2195827MB-01,10,"The Wait - 2004-11-06: Pyramid Alehouse, Berkeley, CA, USA",,Built to Spill,,'04,English
15874,730,2,4,71132-A047,10,010-The Wait,unknown,Built to Spill,"2004-11-06: Pyramid Alehouse, Berkeley, CA, USA",2004,Eng.
1399,733,1,4,27478-A059,5,005-Springhead Motorshark,2m 51sec,Britny Fox,Springhead Motorshark (2003),,Eng.
5700,733,2,5,1950964,5,Springhead Motorshark,171133,Britny Fox,Springhead Motorshark,2003,English
11725,733,3,1,WoM3901930,5,Springhead Motorshark,02:51,BritnyFox,Springhead Motorshark,2003,
12218,733,4,2,MBox527293-HH,5,Britny Fox - Springhead Motorshark,171,,Springhead Motorshark,3,English
1401,734,1,5,6492737,5,Thank You Baby,229000,The Stylistics,The Very Best of... and More,2005,English
17227,734,2,1,WoM1298553,5,Thank You Baby (The Very Best of... and More),03:49,Stylistics,The Very Best of... and More,2005,
1402,735,1,5,7126991,4,Blindsides,,Buddy,Alterations and Repairs,,English
3357,735,2,1,WoM1425407,4,Blindsides (Alterations and Repairs),00:00,Buddy,Alterations and Repairs,,
16030,735,3,2,MBox19262126-HH,4,Buddy - Blindsides,,,Alterations and Repairs,,English
1405,737,1,2,MBox23329419-HH,109,Brian Matthews - Duckman Hunting Call I,2,,Novelty Elements,,English
14320,737,4,5,8631885,109,Duckman Hunting Call I,1000,Brian Matthews,Novelty Elements,,English
15597,737,2,3,37529915MB-01,109,Duckman Hunting Call I - Novelty Elements,0.017,Brian Matthews,,,English
17059,737,3,4,121576-A022,109,109-Duckman Hunting Call I,0m 1sec,Brian Matthews,Novelty Elements (unknown),,Eng.
1407,738,1,3,2931020MB-01,2,Bilyana - The Journey,5.201,Ageless Pathways,,,English
6799,738,2,4,9495-A031,2,002-Bilyana,5m 12sec,Ageless Pathways,The Journey (unknown),,Eng.
1408,739,1,4,110224-A045,7,007-She Wore Red,3m 12sec,House of Freaks,Invisible Jewel (1994),,Eng.
16803,739,2,5,7825916,7,She Wor eRed,192666,House of Freaks,Invisible Jewel,1994,English
1411,740,1,5,5114348,13,Theologians,238000,Wilco,"2004-11-20: Marquee Theatre, Tempe, AZ, USA",,English
3647,740,2,1,WoM10228714,13,"Theologians (2004-11-20: Marquee Theatre, Tempe, AZ, USA)",03:58,Wilo,"2004-11-20: Marquee Theatre, Tempe, AZ, USA",,
7518,740,4,3,2223636MB-01,13,"Theologians - 2004-11-20: MaErquee Theatre, Tempe, AZ, USA",3.967,Wyilco,,,English
17259,740,3,2,MBox13822535-HH,13,Wilco---Theologians,238,,"200q-11-20:  THEATRE, Temep, AZ, U SA",,English
523,741,5,4,100980-A063,3,003-Ruralia Hungarica - Molto Vivace,2m 9sec,Erno Dohnanyi,Kreisler: 1928 Victor Recordings: Favourite Short Pieces (unknown),,Eng.
1412,741,1,5,7169610,3,Ruralia Hungarica - Molto Vivace,129000,Ernő Dohnányi,Kreisler: 1928 Victor Recordings: Favourite Short Pieces,,English
2798,741,3,2,MBox19377321-HH,3,Ernő Dohnányi - Ruralia Hungarica - Molto Vivace,129,,Kreisler: 1928 Victor Recordings: Favourite Short Pieces,,English
11983,741,2,1,WoM14339226,n.a.,Ruralia Hungarica - Molto Vivace (Kreisler: 1928 Victor Recordings: Favourite Short Pieces),02:09,Ernő Dohnányi,Kreisler: 1928 Victor Recordings: Favourite Short Pieces,,
18843,741,4,3,31172211MB-01,3,Ruralia Hungarica - Molto Vivace - Kreisler: 1928 Victor Recordings: Favourite Short Pieces,2.15,Erőn DDohnányi,,,English
1416,744,1,1,WoM1734548,4,Acadian Driftwood (Northern Lights - Southern Cross),06:44,Band,Northern Lights - Southern Cross,1989,
7898,744,2,2,MBox2344014-HH,4,The Band - Acadian Driftwood,404,,Northern Lights - Southern Cross,89,English
1420,746,1,3,48586810MB-01,12,Stuck With You - 80s Pop Party,4.382,Huey Lewis & Te News,,'07,English
1744,746,2,4,157394-A026,12,012-Stuck With You,4m 22sec,Huey Lewis & The News,80s Pop Party (2007),,Eng.
4413,746,5,2,MBox30202617-HH,12,Huey Lewis & The News - Stuck With You,262,,80s Pop Party,7,YEnglish
11958,746,3,5,,12,STUCK WITH YOU,262893,Huey Lewis & The News,80s Pop Party,2007,English
12740,746,4,1,WoM22349933,12,Stuck With You (80s Pop Party),04:22,Huey Lewis & The News,80s Pop Party,2007,
1422,747,1,3,20778912MB-01,1,Hold On - The Emotion Collection: Just for You,3.694,Wilson Phillips,,,English
16411,747,2,4,67312-A033,1,001-Hold On,3m 41sec,Wilson Phlilips,The Emotion Collection: Just for You (unknown),,Eng.
1426,748,1,2,MBox4315382-HH,6,Beatsurfer - Leila's Vision,272,,"Extreme, the Compilation",95,English
9412,748,2,3,6942134MB-01,6,"Leila's Vision - Extreme, the Compilation",4.533,Beatsurfer,,'95,English
1433,752,1,2,MBox28300114-HH,5,Dion & The Belmonts - A Teenager in Love,,,The Best of Boppin' 50's,89,English
6022,752,2,3,45526220MB-01,5,A Teenager in Love - The Best of Boppin' 50's,,Dion & The Belmonts,,'89,English
1446,759,1,4,103088-A021,3,003-Get Your Chillums Out,13m 15sec,Move D / Namlook,Move D / Namlook XVIII: Sexoid (2008),,Eng.
6461,759,2,5,7319236,3,Get Your Chillums Out,795600,Move D / Namlook,Move D / Namlook XVIII: Sexid,2008,English
1448,760,1,2,MBox43380631-HH,10,Derek Close - A Little Jingle Jm,185,,In the Christmas Groove,11,English
4953,760,2,3,69786222MB-01,10,A Little Jingle Jam - In the Christmas Groove,3.083,Derek Close,,'11,English
1451,762,1,2,MBox3564549-HH,4,Deep Purple - Hold On,312,,"Listen, Learn, Read On",2,English
13688,762,2,3,5734264MB-01,3,"Hold On - Listen, Learn, Read On",5.2,Deep Purple,,'02,English
602,764,3,2,MBox2554337-HH,1,The Nat King Cole Trio - If You Can Smile and Say Yes,188,,Trio Classics,1,English
1455,764,1,5,9451016,1,If You Can Smile and Say Yes,188000,The Nat King Cole Trio,Trio Classics,2001,English
6144,764,2,1,WoM18902032,1,If You Can Smile and Say Yes (Trio Classics),03:08,Nat King Cole Trio,Trio Classics,2001,
1458,766,1,3,269726MB-01,4,Dark Are the Veils of Death (live) - Nightfall,4.122,Candlemass,,'01,English
3752,766,2,4,8737-A061,4,004-Dark Are the Veils of Death (live),4m 7sec,Candlemass,Nightfall (2001),,
12681,766,3,5,620355,4,Dark Are the Veils of Death (live),247346,Candlemass,Nightfall,2001,unk.
1461,768,1,2,MBox9977414-HH,1,MALICE MIZER - ma cherie ～愛しい君へ～,324,,ma chérie ～愛しい君へ～,96,Japanese
4813,768,3,4,51995-A028,1,001-ma cherie ,5m 24sec,MALICE MIZER,ma cherie  (1996),,Jap.
8081,768,2,3,1605069MB-01,1,ma cherie ～愛しい君へ～ - ma chérie ～愛しい君へ～,5.403,MALICE MIZER,,'96,Japanese
1463,769,1,1,WoM11566119,21,Love Song (The Jackson 5 Story),03:25,Jackson 5,The Jackson 5 Story,2006,
1607,769,2,2,MBox1562992-HH,21,The Jackson 5 - Love Song,205,,The Jackson 5 Story,6,English
1154,770,3,1,WoM1704813,8,The Fire Still Burns,05:36,Russ Ballard,The Fire Still Burns,,
1464,770,1,4,12006-A04,8,008-The Fire Still Burns,5m 36sec,Russ Ballard,The Fire Still Burns (unknown),,ng.
12644,770,2,5,852397,8,The Fire Still Burns,336866,Russ Ballard,The Fire Still Burns,,English
1471,774,1,4,36853-A055,7,007-Cheat in Our Hometown,3m 19sec,Ricky Skaggs,Super Hits (1993),,Eng.
10116,774,5,3,11376420MB-01,7,Don't Cheat in Our Hometown - Super Hits,3.321,Ricky Skaggs,,'93,English
10209,774,2,5,2616585,7,Don't Cheat in Our Hometown,199266,Ricky Skaggs,Super Hits,1993,English
10584,774,3,1,WoM523321,7,Don't Cheat in Our Hometown (Super Hits),03:19,Ricky Skaggs,Super Hits,1993,
18030,774,4,2,MBox7071831-HH,7,Ricky Skaggs - Don't Cheat in Our Hometown,199,,Super Hits,3,English
1476,777,1,3,5324443MB-01,13,"Fully, Completely - 2006-10-25: Phoenix Concert Theater, Toronto, ON, Canada",,Tragically Hip,,,lEnglish
4780,777,2,4,172482-A019,13,"013-Fully, Completely",unknown,,"2006-10-25: Phoenix Concert Theater, Toronto, ON, Canada (unknown)",,Eng.
1479,778,1,1,,WoM14737942,9,"Run, Run Rudolph (The Muppets: A Green and Red Christmas)",03:10,Electric Mayhem Band,The Muppets: A Green and Red Christmas,2008
9313,778,2,2,MBox19916131-HH,9,"Electric Mayhem Band - Run, Run Rudolph",190,,The Muppets: A Green and Red Christmas,8,English
1483,780,1,5,11703927,1,Moves Like Jagger / Jumpin' Jack Flash,196000,Glee Cast,,2012,English
12713,780,2,1,WoM23407843,1,Moves Like Jagger / Jumpin' Jack Flash,03:16,Glee Cast,Moves Like Jagger / Jumpin' Jack Flash,2012,
1488,783,1,3,39237711MB-01,14,Lifeline 4 - A Voice and a Piano,0.717,Helen Schneider,,'00,English
13592,783,2,4,127108-A040,14,0E14-Lifeline 4,0m 43sec,Helen Schneider,A Voice and a Piano (2000),,Eng.
1493,785,1,4,149011-A02,3,0003-Belalm,4m 23sec,Mahsun Krmzgul,Yklmadm (unknown),,Tur.
2291,785,4,2,MBox28593919-HH,3,Mahsun Kırmızıgül - Belalım,263,,Yıkılmadım,,Turkish
4507,785,3,1,WoM21159516,3,Belalım (Yıkılmadım),04:23,Mahsun Kırmızıgül,Yıkılmadım,,
19215,785,2,5,10579750,3,Belalım,263000,Mahsun Kırmızıgül,Yıkılmadım,,Turkish
